scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-09-25T19:32:00-05:00,2026-09-25,Stock,NASDAQ100,96,ROP,"Roper Technologies, Inc. Common Stock",358.56,-1.5,RSI & Puddle,359.29,-1.3,13.19,"3rd: MA120, 50% cash, 5d"
2026-09-25T19:32:00-05:00,2026-09-25,Stock,NASDAQ100,7,SPCX,Space Exploration Technologies Corp. Class A Common Stock,148.68,0.44,Puddle,148.14,0.07,50.2,"1st: MA20, 10% cash"
2026-09-25T19:32:00-05:00,2026-09-25,Stock,S&P500,12,LLY,Eli Lilly & Co.,1183.46,0.13,Puddle,1179.12,-0.23,60.2,"2nd: MA60, 50% cash, 5d"
2026-09-25T19:32:00-05:00,2026-09-25,Stock,S&P500,61,VZ,Verizon Communications,47.08,-0.51,Puddle,46.94,-0.8,32.02,"2nd: MA60, 50% cash, 5d"
2026-09-25T19:32:00-05:00,2026-09-25,Stock,NASDAQ100,88,TRI,Thomson Reuters Corporation Common Shares,98.99,-1.33,Puddle,98.48,-1.83,40.84,"2nd: MA60, 50% cash, 5d"
